FPR	TPR	Tissue	Treshold
0.429545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.620455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.538636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.486364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.275000	0.988636	Heart_-_Atrial_Appendage	0.000000
0.109091	0.977273	Heart_-_Atrial_Appendage	0.000257
0.000000	0.204545	Heart_-_Atrial_Appendage	0.011255
0.175000	0.977273	Heart_-_Atrial_Appendage	0.000012
0.650000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.502273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.022727	Heart_-_Atrial_Appendage	0.011352
0.061364	0.965909	Heart_-_Atrial_Appendage	0.001338
0.000000	0.579545	Heart_-_Atrial_Appendage	0.010857
0.606818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.263636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.936364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.077273	0.977273	Heart_-_Atrial_Appendage	0.000748
0.261364	0.988636	Heart_-_Atrial_Appendage	0.000000
0.993182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.872727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.168182	0.977273	Heart_-_Atrial_Appendage	0.000017
0.284091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.554545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.220455	0.977273	Heart_-_Atrial_Appendage	0.000000
0.661364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.118182	0.977273	Heart_-_Atrial_Appendage	0.000176
0.136364	0.977273	Heart_-_Atrial_Appendage	0.000081
0.000000	0.181818	Heart_-_Atrial_Appendage	0.011282
0.381818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.681818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.065909	0.965909	Heart_-_Atrial_Appendage	0.001181
0.177273	0.977273	Heart_-_Atrial_Appendage	0.000012
0.756818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.402273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.295455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.186364	0.977273	Heart_-_Atrial_Appendage	0.000005
0.320455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.552273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.909091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.465909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.009091	0.852273	Heart_-_Atrial_Appendage	0.008172
0.056818	0.954545	Heart_-_Atrial_Appendage	0.001492
0.515909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.431818	Heart_-_Atrial_Appendage	0.011111
0.000000	0.454545	Heart_-_Atrial_Appendage	0.011089
0.365909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.193182	Heart_-_Atrial_Appendage	0.011278
0.884091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.386364	Heart_-_Atrial_Appendage	0.011159
0.027273	0.931818	Heart_-_Atrial_Appendage	0.004673
0.754545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.211364	0.977273	Heart_-_Atrial_Appendage	0.000001
0.315909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.361364	0.988636	Heart_-_Atrial_Appendage	0.000000
0.377273	0.988636	Heart_-_Atrial_Appendage	0.000000
0.459091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.031818	0.943182	Heart_-_Atrial_Appendage	0.003582
0.229545	0.988636	Heart_-_Atrial_Appendage	0.000000
0.300000	0.988636	Heart_-_Atrial_Appendage	0.000000
0.402273	0.988636	Heart_-_Atrial_Appendage	0.000000
0.313636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.952273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.068182	0.977273	Heart_-_Atrial_Appendage	0.000941
0.752273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.556818	Heart_-_Atrial_Appendage	0.010888
0.522727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.870455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.565909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.550000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.922727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.090909	Heart_-_Atrial_Appendage	0.011330
0.420455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.588636	1.000000	Heart_-_Atrial_Appendage	0.000000
