FPR	TPR	Tissue	Treshold
0.057576	0.563636	Brain_-_Putamen_(Basal_Ganglia)	0.005341
0.687879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000002
0.818182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.248485	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001045
0.271212	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000904
0.481818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000123
0.990909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.650000	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000008
0.639394	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000010
0.069697	0.600000	Brain_-_Putamen_(Basal_Ganglia)	0.004647
0.518182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000075
0.013636	0.272727	Brain_-_Putamen_(Basal_Ganglia)	0.008972
0.440909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000221
0.259091	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000987
0.589394	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000024
0.119697	0.781818	Brain_-_Putamen_(Basal_Ganglia)	0.002776
0.559091	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000040
0.775758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.309091	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000670
0.303030	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000718
0.513636	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000081
0.265152	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000958
0.284848	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000812
0.622727	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000015
0.715152	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.200000	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001515
0.072727	0.672727	Brain_-_Putamen_(Basal_Ganglia)	0.004203
0.046970	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.006064
0.465152	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000149
0.034848	0.436364	Brain_-_Putamen_(Basal_Ganglia)	0.006740
0.134848	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002519
0.125758	0.800000	Brain_-_Putamen_(Basal_Ganglia)	0.002655
0.225758	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001199
0.868182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.072727	0.600000	Brain_-_Putamen_(Basal_Ganglia)	0.004382
0.516667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000079
0.000000	0.054545	Brain_-_Putamen_(Basal_Ganglia)	0.013224
0.780303	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.553030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000044
0.840909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.695455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.045455	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.006085
0.540909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000052
0.022727	0.363636	Brain_-_Putamen_(Basal_Ganglia)	0.008065
0.853030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.460606	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000161
0.112121	0.781818	Brain_-_Putamen_(Basal_Ganglia)	0.003033
0.830303	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.968182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.107576	0.745455	Brain_-_Putamen_(Basal_Ganglia)	0.003180
0.731818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.962121	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.918182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.353030	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000455
0.886364	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.457576	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000181
0.615152	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000017
0.595455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000024
0.350000	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000459
0.718182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.795455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.375758	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000403
0.262121	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000963
0.012121	0.272727	Brain_-_Putamen_(Basal_Ganglia)	0.009251
0.566667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000036
0.365152	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000423
0.825758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.110606	0.745455	Brain_-_Putamen_(Basal_Ganglia)	0.003131
0.837879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.103030	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003305
0.115152	0.781818	Brain_-_Putamen_(Basal_Ganglia)	0.002988
0.218182	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001353
0.342424	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000504
0.410606	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000300
0.696970	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.903030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.268182	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000915
0.001515	0.090909	Brain_-_Putamen_(Basal_Ganglia)	0.012702
